state,value


AL,292360
AK,55693
AZ,488730
AR,184259
CA,3372091
CO,492712
CT,342645
DE,72879
FL,1645166
GA,697614
HI,100537
IA,206072
ID,123772
IL,943055
IN,441783
KS,202115
KY,263951
LA,281987
MA,670283
MD,491898
ME,95723
MI,641085
MN,434157
MO,404331
MS,153089
MT,76894
NE,144111
NV,224334
NH,116778
NJ,798742
NM,122815
NY,1703276
NC,716389
ND,56530
OH,763207
OK,256622
OR,301994
PA,930521
RI,77791
SC,328702
SD,68387
TN,469138
TX,2125967
UT,232792
VT,45451
VA,679282
WA,667991
WI,402881
WV,97593
WY,50503
